Time,G1 - Min,G1 - Max,G1 - Cost
16/01/2019 08.00,0,1600,0.05941
16/01/2019 09.00,0,1600,0.05637
16/01/2019 10.00,0,1600,0.05556
16/01/2019 11.00,0,1600,0.05492
16/01/2019 12.00,0,1600,0.05415
16/01/2019 13.00,0,1600,0.05316
16/01/2019 14.00,0,1600,0.05355
16/01/2019 15.00,0,1600,0.05372
16/01/2019 16.00,0,1600,0.05483
16/01/2019 17.00,0,1600,0.05401
16/01/2019 18.00,0,1600,0.05267
16/01/2019 19.00,0,1600,0.05216
16/01/2019 20.00,0,1600,0.05135
16/01/2019 21.00,0,1600,0.05009
16/01/2019 22.00,0,1600,0.0464
16/01/2019 23.00,0,1600,0.04321
17/01/2019 00.00,0,1600,0.04622
17/01/2019 01.00,0,1600,0.04405
17/01/2019 02.00,0,1600,0.0439
17/01/2019 03.00,0,1600,0.04407
17/01/2019 04.00,0,1600,0.04825
17/01/2019 05.00,0,1600,0.0503
17/01/2019 06.00,0,1600,0.05274
17/01/2019 07.00,0,1600,0.05394
17/01/2019 08.00,0,1600,0.05442
17/01/2019 09.00,0,1600,0.05474
17/01/2019 10.00,0,1600,0.0548
17/01/2019 11.00,0,1600,0.05462
17/01/2019 12.00,0,1600,0.05443
17/01/2019 13.00,0,1600,0.05447
17/01/2019 14.00,0,1600,0.055
17/01/2019 15.00,0,1600,0.0559
17/01/2019 16.00,0,1600,0.05509
17/01/2019 17.00,0,1600,0.0547
17/01/2019 18.00,0,1600,0.05449
17/01/2019 19.00,0,1600,0.05385
17/01/2019 20.00,0,1600,0.05305
17/01/2019 21.00,0,1600,0.05275
17/01/2019 22.00,0,1600,0.05119
17/01/2019 23.00,0,1600,0.05003
18/01/2019 00.00,0,1600,0.05116
18/01/2019 01.00,0,1600,0.05047
18/01/2019 02.00,0,1600,0.05012
18/01/2019 03.00,0,1600,0.05015
18/01/2019 04.00,0,1600,0.05065
18/01/2019 05.00,0,1600,0.05303
18/01/2019 06.00,0,1600,0.05594
18/01/2019 07.00,0,1600,0.05484
18/01/2019 08.00,0,1600,0.05488
18/01/2019 09.00,0,1600,0.05527
18/01/2019 10.00,0,1600,0.0553
18/01/2019 11.00,0,1600,0.05522
18/01/2019 12.00,0,1600,0.05503
18/01/2019 13.00,0,1600,0.05524
18/01/2019 14.00,0,1600,0.05489
18/01/2019 15.00,0,1600,0.05479
18/01/2019 16.00,0,1600,0.05476
18/01/2019 17.00,0,1600,0.05454
18/01/2019 18.00,0,1600,0.05481
18/01/2019 19.00,0,1600,0.05723
18/01/2019 20.00,0,1600,0.05796
18/01/2019 21.00,0,1600,0.05633
18/01/2019 22.00,0,1600,0.05534
18/01/2019 23.00,0,1600,0.05316
19/01/2019 00.00,0,1600,0.05376
19/01/2019 01.00,0,1600,0.05318
19/01/2019 02.00,0,1600,0.05341
19/01/2019 03.00,0,1600,0.05246
19/01/2019 04.00,0,1600,0.05225
19/01/2019 05.00,0,1600,0.05199
19/01/2019 06.00,0,1600,0.05172
19/01/2019 07.00,0,1600,0.05275
19/01/2019 08.00,0,1600,0.05465
19/01/2019 09.00,0,1600,0.05662
19/01/2019 10.00,0,1600,0.05894
19/01/2019 11.00,0,1600,0.05704
19/01/2019 12.00,0,1600,0.05526
19/01/2019 13.00,0,1600,0.05438
19/01/2019 14.00,0,1600,0.05384
19/01/2019 15.00,0,1600,0.05541
19/01/2019 16.00,0,1600,0.05949
19/01/2019 17.00,0,1600,0.06396
19/01/2019 18.00,0,1600,0.06099
19/01/2019 19.00,0,1600,0.05704
19/01/2019 20.00,0,1600,0.05461
19/01/2019 21.00,0,1600,0.0536
19/01/2019 22.00,0,1600,0.0528
19/01/2019 23.00,0,1600,0.05075
20/01/2019 00.00,0,1600,0.051
20/01/2019 01.00,0,1600,0.04973
20/01/2019 02.00,0,1600,0.05
20/01/2019 03.00,0,1600,0.05011
20/01/2019 04.00,0,1600,0.05085
20/01/2019 05.00,0,1600,0.05111
20/01/2019 06.00,0,1600,0.05099
20/01/2019 07.00,0,1600,0.05183
20/01/2019 08.00,0,1600,0.05214
20/01/2019 09.00,0,1600,0.05368
20/01/2019 10.00,0,1600,0.05448
