Time,W1 - Min,W1 - Max,W1 - Cost
17/01/2019 11.00,0,161.306,0
17/01/2019 12.00,0,180.693,0
17/01/2019 13.00,0,259.262,0
17/01/2019 14.00,0,307.662,0
17/01/2019 15.00,0,296.382,0
17/01/2019 16.00,0,274.863,0
17/01/2019 17.00,0,273.05,0
17/01/2019 18.00,0,285.138,0
17/01/2019 19.00,0,305.249,0
17/01/2019 20.00,0,319.287,0
17/01/2019 21.00,0,302.676,0
17/01/2019 22.00,0,265.503,0
17/01/2019 23.00,0,228.898,0
18/01/2019 00.00,0,173.09,0
18/01/2019 01.00,0,123.672,0
18/01/2019 02.00,0,113.854,0
18/01/2019 03.00,0,127.251,0
18/01/2019 04.00,0,138.473,0
18/01/2019 05.00,0,134.344,0
18/01/2019 06.00,0,122.624,0
18/01/2019 07.00,0,112.627,0
18/01/2019 08.00,0,101.437,0
18/01/2019 09.00,0,84.111,0
18/01/2019 10.00,0,89.516,0
18/01/2019 11.00,0,106.473,0
18/01/2019 12.00,0,117.926,0
18/01/2019 13.00,0,128.065,0
18/01/2019 14.00,0,152.46,0
18/01/2019 15.00,0,176.866,0
18/01/2019 16.00,0,189.361,0
18/01/2019 17.00,0,194.159,0
18/01/2019 18.00,0,194.161,0
18/01/2019 19.00,0,188.122,0
18/01/2019 20.00,0,182.127,0
18/01/2019 21.00,0,171.939,0
18/01/2019 22.00,0,156.896,0
18/01/2019 23.00,0,143.622,0
19/01/2019 00.00,0,132.145,0
19/01/2019 01.00,0,120.365,0
19/01/2019 02.00,0,108.537,0
19/01/2019 03.00,0,96.262,0
19/01/2019 04.00,0,84.689,0
19/01/2019 05.00,0,74.621,0
19/01/2019 06.00,0,70.112,0
19/01/2019 07.00,0,72.527,0
19/01/2019 08.00,0,77.795,0
19/01/2019 09.00,0,80.963,0
19/01/2019 10.00,0,88.903,0
19/01/2019 11.00,0,101.407,0
19/01/2019 12.00,0,99.853,0
19/01/2019 13.00,0,97.015,0
19/01/2019 14.00,0,102.493,0
19/01/2019 15.00,0,111.67,0
19/01/2019 16.00,0,116.454,0
19/01/2019 17.00,0,118.357,0
19/01/2019 18.00,0,120.896,0
19/01/2019 19.00,0,123.546,0
19/01/2019 20.00,0,124.465,0
19/01/2019 21.00,0,126.003,0
19/01/2019 22.00,0,125.493,0
19/01/2019 23.00,0,121.512,0
20/01/2019 00.00,0,117.191,0
20/01/2019 01.00,0,113.519,0
20/01/2019 02.00,0,110.165,0
20/01/2019 03.00,0,103.8,0
20/01/2019 04.00,0,94.44,0
20/01/2019 05.00,0,85.321,0
20/01/2019 06.00,0,77.954,0
20/01/2019 07.00,0,70.421,0
20/01/2019 08.00,0,66.402,0
